station_id,As-tot,Cu-tot,Pb-tot,Hg-tot,Cr-tot,Fe-tot,Mn-tot,U-tot,Mn-tot.1,Fe-tot.1,Zn-tot,distance_km_mrds,percentage_Manufacturing,percentage_Administrative,percentage_Wholesale Trade
USA00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.305191154190164,80.0,0.0,20.0
USA00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9861444302635782,50.0,50.0,0.0
USA00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.22870046001856,0.0,0.0,0.0
USA00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9032908389638212,80.0,20.0,0.0
USA00005,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,4.378856015125621,60.0,40.0,0.0
USA00006,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,5.406472434782268,0.0,0.0,0.0
USA00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1665976657936374,0.0,0.0,0.0
USA00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9425202645703825,20.0,80.0,0.0
USA00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.911362071567849,0.0,0.0,0.0
USA00010,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,5.275711705766802,50.0,50.0,0.0
USA00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.589033555456291,100.0,0.0,0.0
USA00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067979132091416,100.0,0.0,0.0
USA00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9122715719318,0.0,0.0,0.0
USA00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9635230606709826,100.0,0.0,0.0
USA00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.296497080344334,100.0,0.0,0.0
USA00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.225949050495527,0.0,0.0,0.0
USA00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1181044619050575,100.0,0.0,0.0
USA00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.401603373976521,50.0,50.0,0.0
USA00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.412078314436679,100.0,0.0,0.0
USA00020,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,18.16858386599251,0.0,0.0,0.0
USA00021,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,12.944715074769537,0.0,0.0,0.0
USA00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3575983745554465,0.0,0.0,0.0
USA00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6557848780288067,100.0,0.0,0.0
USA00028,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,5.626614458620739,100.0,0.0,0.0
USA00033,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.687217090414871,0.0,0.0,0.0
USA00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.018450222888068,0.0,0.0,0.0
USA00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23291291263142,100.0,0.0,0.0
USA00042,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,3.253749378716493,0.0,100.0,0.0
USA00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.497621391048137,60.0,40.0,0.0
USA00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1262278494231523,100.0,0.0,0.0
USA00045,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.964374354982761,80.0,20.0,0.0
USA00046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.405680603637663,0.0,0.0,0.0
USA00048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.657357802555533,80.0,20.0,0.0
USA00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47932094060493,0.0,100.0,0.0
USA00052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0643893148904726,60.0,40.0,0.0
USA00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.639034048022706,100.0,0.0,0.0
USA00055,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.892277619791784,100.0,0.0,0.0
USA00056,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198701823717373,100.0,0.0,0.0
USA00060,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62580552722972,80.0,0.0,20.0
USA00063,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.1514225916135095,80.0,20.0,0.0
USA00065,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3509262982158359,0.0,100.0,0.0
USA00070,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.840683175064294,60.0,0.0,40.0
USA00083,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,16.57081403416326,0.0,0.0,0.0
USA00084,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,7.572315412731804,0.0,100.0,0.0
USA00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2936013524546746,100.0,0.0,0.0
USA00090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.900849527023279,40.0,60.0,0.0
